entry_id,entry_date,account_name,account_code,debit,credit,description,entry_type
267,2025-06-01,Loan Loss Expense,5100,9126.05,,Loan Loss Expense to Provision for Loan Losses,Provisioning
268,2025-06-01,Provision for Loan Losses,2600,,9126.05,Loan Loss Expense to Provision for Loan Losses,Provisioning
269,2025-06-15,Cash on Hand,1010,2429.63,,Cash on Hand to Customer Deposit Account,CustomerTransaction
270,2025-06-15,Customer Deposit Account,2100,,2429.63,Cash on Hand to Customer Deposit Account,CustomerTransaction
271,2025-06-09,Loan Loss Expense,5100,18174.64,,Loan Loss Expense to Provision for Loan Losses,Provisioning
272,2025-06-09,Provision for Loan Losses,2600,,18174.64,Loan Loss Expense to Provision for Loan Losses,Provisioning
273,2025-06-10,Cash on Hand,1010,16857.31,,Cash on Hand to Customer Deposit Account,CustomerTransaction
274,2025-06-10,Customer Deposit Account,2100,,16857.31,Cash on Hand to Customer Deposit Account,CustomerTransaction
275,2025-06-03,Customer Account,2100,3813.78,,Customer Account to Advisory Fee Income,FeeIncome
276,2025-06-03,Advisory Fee Income,4200,,3813.78,Customer Account to Advisory Fee Income,FeeIncome
277,2025-06-15,Cash on Hand,1010,6856.91,,Cash on Hand to Customer Deposit Account,CustomerTransaction
278,2025-06-15,Customer Deposit Account,2100,,6856.91,Cash on Hand to Customer Deposit Account,CustomerTransaction
279,2025-06-04,Cash on Hand,1010,18079.57,,Cash on Hand to Customer Deposit Account,CustomerTransaction
280,2025-06-04,Customer Deposit Account,2100,,18079.57,Cash on Hand to Customer Deposit Account,CustomerTransaction
281,2025-06-02,Loan Loss Expense,5100,5741.07,,Loan Loss Expense to Provision for Loan Losses,Provisioning
282,2025-06-02,Provision for Loan Losses,2600,,5741.07,Loan Loss Expense to Provision for Loan Losses,Provisioning
283,2025-06-15,Credit Card Receivable,1320,15822.21,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
284,2025-06-15,Customer Loan Account,2200,,15822.21,Credit Card Receivable to Customer Loan Account,PaymentProcessing
285,2025-06-12,Trading Securities,1400,19502.9,,Trading Securities to Settlement Payable,SecuritiesTrading
286,2025-06-12,Settlement Payable,2400,,19502.9,Trading Securities to Settlement Payable,SecuritiesTrading
287,2025-06-04,Interest Receivable,1310,18589.51,,Interest Receivable to Interest Income,InterestAccrual
288,2025-06-04,Interest Income,4100,,18589.51,Interest Receivable to Interest Income,InterestAccrual
289,2025-06-13,Interest Receivable,1310,19547.91,,Interest Receivable to Interest Income,InterestAccrual
290,2025-06-13,Interest Income,4100,,19547.91,Interest Receivable to Interest Income,InterestAccrual
291,2025-06-01,Interest Receivable,1310,17746.91,,Interest Receivable to Interest Income,InterestAccrual
292,2025-06-01,Interest Income,4100,,17746.91,Interest Receivable to Interest Income,InterestAccrual
293,2025-06-06,Interest Receivable,1310,14994.72,,Interest Receivable to Interest Income,InterestAccrual
294,2025-06-06,Interest Income,4100,,14994.72,Interest Receivable to Interest Income,InterestAccrual
295,2025-06-14,Trading Securities,1400,16242.47,,Trading Securities to Settlement Payable,SecuritiesTrading
296,2025-06-14,Settlement Payable,2400,,16242.47,Trading Securities to Settlement Payable,SecuritiesTrading
297,2025-06-05,Loan Loss Expense,5100,16404.24,,Loan Loss Expense to Provision for Loan Losses,Provisioning
298,2025-06-05,Provision for Loan Losses,2600,,16404.24,Loan Loss Expense to Provision for Loan Losses,Provisioning
299,2025-06-02,Interest Receivable,1310,15960.12,,Interest Receivable to Interest Income,InterestAccrual
300,2025-06-02,Interest Income,4100,,15960.12,Interest Receivable to Interest Income,InterestAccrual
301,2025-06-14,Trading Securities,1400,17571.17,,Trading Securities to Settlement Payable,SecuritiesTrading
302,2025-06-14,Settlement Payable,2400,,17571.17,Trading Securities to Settlement Payable,SecuritiesTrading
303,2025-06-14,Trading Securities,1400,5226.24,,Trading Securities to Settlement Payable,SecuritiesTrading
304,2025-06-14,Settlement Payable,2400,,5226.24,Trading Securities to Settlement Payable,SecuritiesTrading
305,2025-06-14,Trading Securities,1400,7643.51,,Trading Securities to Settlement Payable,SecuritiesTrading
306,2025-06-14,Settlement Payable,2400,,7643.51,Trading Securities to Settlement Payable,SecuritiesTrading
307,2025-06-11,Interest Receivable,1310,5235.55,,Interest Receivable to Interest Income,InterestAccrual
308,2025-06-11,Interest Income,4100,,5235.55,Interest Receivable to Interest Income,InterestAccrual
309,2025-06-05,Interest Receivable,1310,8570.85,,Interest Receivable to Interest Income,InterestAccrual
310,2025-06-05,Interest Income,4100,,8570.85,Interest Receivable to Interest Income,InterestAccrual
311,2025-06-05,Cash on Hand,1010,19370.89,,Cash on Hand to Customer Deposit Account,CustomerTransaction
312,2025-06-05,Customer Deposit Account,2100,,19370.89,Cash on Hand to Customer Deposit Account,CustomerTransaction
313,2025-06-07,Credit Card Receivable,1320,13188.15,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
314,2025-06-07,Customer Loan Account,2200,,13188.15,Credit Card Receivable to Customer Loan Account,PaymentProcessing
315,2025-06-09,Loan Loss Expense,5100,19641.84,,Loan Loss Expense to Provision for Loan Losses,Provisioning
316,2025-06-09,Provision for Loan Losses,2600,,19641.84,Loan Loss Expense to Provision for Loan Losses,Provisioning
317,2025-06-02,Credit Card Receivable,1320,18845.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
318,2025-06-02,Customer Loan Account,2200,,18845.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
319,2025-06-05,Credit Card Receivable,1320,4392.79,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
320,2025-06-05,Customer Loan Account,2200,,4392.79,Credit Card Receivable to Customer Loan Account,PaymentProcessing
321,2025-06-07,Cash on Hand,1010,3059.65,,Cash on Hand to Customer Deposit Account,CustomerTransaction
322,2025-06-07,Customer Deposit Account,2100,,3059.65,Cash on Hand to Customer Deposit Account,CustomerTransaction
323,2025-06-06,Credit Card Receivable,1320,14842.36,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
324,2025-06-06,Customer Loan Account,2200,,14842.36,Credit Card Receivable to Customer Loan Account,PaymentProcessing
325,2025-06-09,Trading Securities,1400,12517.97,,Trading Securities to Settlement Payable,SecuritiesTrading
326,2025-06-09,Settlement Payable,2400,,12517.97,Trading Securities to Settlement Payable,SecuritiesTrading
327,2025-06-10,Cash on Hand,1010,8318.71,,Cash on Hand to Customer Deposit Account,CustomerTransaction
328,2025-06-10,Customer Deposit Account,2100,,8318.71,Cash on Hand to Customer Deposit Account,CustomerTransaction
329,2025-06-12,Interest Receivable,1310,5839.73,,Interest Receivable to Interest Income,InterestAccrual
330,2025-06-12,Interest Income,4100,,5839.73,Interest Receivable to Interest Income,InterestAccrual
331,2025-06-15,Trading Securities,1400,1032.13,,Trading Securities to Settlement Payable,SecuritiesTrading
332,2025-06-15,Settlement Payable,2400,,1032.13,Trading Securities to Settlement Payable,SecuritiesTrading
333,2025-06-12,Customer Account,2100,14050.29,,Customer Account to Advisory Fee Income,FeeIncome
334,2025-06-12,Advisory Fee Income,4200,,14050.29,Customer Account to Advisory Fee Income,FeeIncome
335,2025-06-06,Loan Loss Expense,5100,13741.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
336,2025-06-06,Provision for Loan Losses,2600,,13741.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
337,2025-06-11,Trading Securities,1400,2329.5,,Trading Securities to Settlement Payable,SecuritiesTrading
338,2025-06-11,Settlement Payable,2400,,2329.5,Trading Securities to Settlement Payable,SecuritiesTrading
339,2025-06-11,Credit Card Receivable,1320,12839.95,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
340,2025-06-11,Customer Loan Account,2200,,12839.95,Credit Card Receivable to Customer Loan Account,PaymentProcessing
341,2025-06-05,Cash on Hand,1010,14675.33,,Cash on Hand to Customer Deposit Account,CustomerTransaction
342,2025-06-05,Customer Deposit Account,2100,,14675.33,Cash on Hand to Customer Deposit Account,CustomerTransaction
343,2025-06-07,Customer Account,2100,6876.41,,Customer Account to Advisory Fee Income,FeeIncome
344,2025-06-07,Advisory Fee Income,4200,,6876.41,Customer Account to Advisory Fee Income,FeeIncome
345,2025-06-05,Credit Card Receivable,1320,8645.61,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
346,2025-06-05,Customer Loan Account,2200,,8645.61,Credit Card Receivable to Customer Loan Account,PaymentProcessing
347,2025-06-07,Customer Account,2100,3418.47,,Customer Account to Advisory Fee Income,FeeIncome
348,2025-06-07,Advisory Fee Income,4200,,3418.47,Customer Account to Advisory Fee Income,FeeIncome
349,2025-06-11,Loan Loss Expense,5100,18866.91,,Loan Loss Expense to Provision for Loan Losses,Provisioning
350,2025-06-11,Provision for Loan Losses,2600,,18866.91,Loan Loss Expense to Provision for Loan Losses,Provisioning
351,2025-06-10,Loan Loss Expense,5100,18153.31,,Loan Loss Expense to Provision for Loan Losses,Provisioning
352,2025-06-10,Provision for Loan Losses,2600,,18153.31,Loan Loss Expense to Provision for Loan Losses,Provisioning
353,2025-06-09,Customer Account,2100,6718.05,,Customer Account to Advisory Fee Income,FeeIncome
354,2025-06-09,Advisory Fee Income,4200,,6718.05,Customer Account to Advisory Fee Income,FeeIncome
355,2025-06-04,Cash on Hand,1010,6773.62,,Cash on Hand to Customer Deposit Account,CustomerTransaction
356,2025-06-04,Customer Deposit Account,2100,,6773.62,Cash on Hand to Customer Deposit Account,CustomerTransaction
357,2025-06-10,Trading Securities,1400,15929.42,,Trading Securities to Settlement Payable,SecuritiesTrading
358,2025-06-10,Settlement Payable,2400,,15929.42,Trading Securities to Settlement Payable,SecuritiesTrading
359,2025-06-08,Loan Loss Expense,5100,7122.74,,Loan Loss Expense to Provision for Loan Losses,Provisioning
360,2025-06-08,Provision for Loan Losses,2600,,7122.74,Loan Loss Expense to Provision for Loan Losses,Provisioning
361,2025-06-09,Trading Securities,1400,13836.92,,Trading Securities to Settlement Payable,SecuritiesTrading
362,2025-06-09,Settlement Payable,2400,,13836.92,Trading Securities to Settlement Payable,SecuritiesTrading
363,2025-06-13,Trading Securities,1400,16080.97,,Trading Securities to Settlement Payable,SecuritiesTrading
364,2025-06-13,Settlement Payable,2400,,16080.97,Trading Securities to Settlement Payable,SecuritiesTrading
365,2025-06-02,Loan Loss Expense,5100,4224.14,,Loan Loss Expense to Provision for Loan Losses,Provisioning
366,2025-06-02,Provision for Loan Losses,2600,,4224.14,Loan Loss Expense to Provision for Loan Losses,Provisioning
367,2025-06-11,Credit Card Receivable,1320,10793.59,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
368,2025-06-11,Customer Loan Account,2200,,10793.59,Credit Card Receivable to Customer Loan Account,PaymentProcessing
369,2025-06-14,Customer Account,2100,7368.58,,Customer Account to Advisory Fee Income,FeeIncome
370,2025-06-14,Advisory Fee Income,4200,,7368.58,Customer Account to Advisory Fee Income,FeeIncome
371,2025-06-04,Interest Receivable,1310,13783.12,,Interest Receivable to Interest Income,InterestAccrual
372,2025-06-04,Interest Income,4100,,13783.12,Interest Receivable to Interest Income,InterestAccrual
373,2025-06-01,Interest Receivable,1310,3799.73,,Interest Receivable to Interest Income,InterestAccrual
374,2025-06-01,Interest Income,4100,,3799.73,Interest Receivable to Interest Income,InterestAccrual
375,2025-06-10,Interest Receivable,1310,19694.78,,Interest Receivable to Interest Income,InterestAccrual
376,2025-06-10,Interest Income,4100,,19694.78,Interest Receivable to Interest Income,InterestAccrual
377,2025-06-15,Cash on Hand,1010,9652.91,,Cash on Hand to Customer Deposit Account,CustomerTransaction
378,2025-06-15,Customer Deposit Account,2100,,9652.91,Cash on Hand to Customer Deposit Account,CustomerTransaction
379,2025-06-12,Loan Loss Expense,5100,11937.75,,Loan Loss Expense to Provision for Loan Losses,Provisioning
380,2025-06-12,Provision for Loan Losses,2600,,11937.75,Loan Loss Expense to Provision for Loan Losses,Provisioning
381,2025-06-07,Loan Loss Expense,5100,8295.59,,Loan Loss Expense to Provision for Loan Losses,Provisioning
382,2025-06-07,Provision for Loan Losses,2600,,8295.59,Loan Loss Expense to Provision for Loan Losses,Provisioning
383,2025-06-12,Interest Receivable,1310,3803.86,,Interest Receivable to Interest Income,InterestAccrual
384,2025-06-12,Interest Income,4100,,3803.86,Interest Receivable to Interest Income,InterestAccrual
385,2025-06-14,Cash on Hand,1010,17960.54,,Cash on Hand to Customer Deposit Account,CustomerTransaction
386,2025-06-14,Customer Deposit Account,2100,,17960.54,Cash on Hand to Customer Deposit Account,CustomerTransaction
387,2025-06-04,Cash on Hand,1010,15789.99,,Cash on Hand to Customer Deposit Account,CustomerTransaction
388,2025-06-04,Customer Deposit Account,2100,,15789.99,Cash on Hand to Customer Deposit Account,CustomerTransaction
389,2025-06-12,Interest Receivable,1310,16278.09,,Interest Receivable to Interest Income,InterestAccrual
390,2025-06-12,Interest Income,4100,,16278.09,Interest Receivable to Interest Income,InterestAccrual
391,2025-06-09,Customer Account,2100,9826.45,,Customer Account to Advisory Fee Income,FeeIncome
392,2025-06-09,Advisory Fee Income,4200,,9826.45,Customer Account to Advisory Fee Income,FeeIncome
393,2025-06-02,Interest Receivable,1310,18431.93,,Interest Receivable to Interest Income,InterestAccrual
394,2025-06-02,Interest Income,4100,,18431.93,Interest Receivable to Interest Income,InterestAccrual
395,2025-06-08,Trading Securities,1400,3533.44,,Trading Securities to Settlement Payable,SecuritiesTrading
396,2025-06-08,Settlement Payable,2400,,3533.44,Trading Securities to Settlement Payable,SecuritiesTrading
397,2025-06-09,Loan Loss Expense,5100,11091.51,,Loan Loss Expense to Provision for Loan Losses,Provisioning
398,2025-06-09,Provision for Loan Losses,2600,,11091.51,Loan Loss Expense to Provision for Loan Losses,Provisioning
399,2025-06-13,Customer Account,2100,7028.66,,Customer Account to Advisory Fee Income,FeeIncome
400,2025-06-13,Advisory Fee Income,4200,,7028.66,Customer Account to Advisory Fee Income,FeeIncome
401,2025-06-12,Trading Securities,1400,12640.39,,Trading Securities to Settlement Payable,SecuritiesTrading
402,2025-06-12,Settlement Payable,2400,,12640.39,Trading Securities to Settlement Payable,SecuritiesTrading
403,2025-06-15,Customer Account,2100,9108.07,,Customer Account to Advisory Fee Income,FeeIncome
404,2025-06-15,Advisory Fee Income,4200,,9108.07,Customer Account to Advisory Fee Income,FeeIncome
405,2025-06-03,Customer Account,2100,9472.36,,Customer Account to Advisory Fee Income,FeeIncome
406,2025-06-03,Advisory Fee Income,4200,,9472.36,Customer Account to Advisory Fee Income,FeeIncome
407,2025-06-08,Loan Loss Expense,5100,17368.4,,Loan Loss Expense to Provision for Loan Losses,Provisioning
408,2025-06-08,Provision for Loan Losses,2600,,17368.4,Loan Loss Expense to Provision for Loan Losses,Provisioning
409,2025-06-14,Credit Card Receivable,1320,15283.76,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
410,2025-06-14,Customer Loan Account,2200,,15283.76,Credit Card Receivable to Customer Loan Account,PaymentProcessing
411,2025-06-13,Loan Loss Expense,5100,6268.92,,Loan Loss Expense to Provision for Loan Losses,Provisioning
412,2025-06-13,Provision for Loan Losses,2600,,6268.92,Loan Loss Expense to Provision for Loan Losses,Provisioning
413,2025-06-04,Customer Account,2100,10207.34,,Customer Account to Advisory Fee Income,FeeIncome
414,2025-06-04,Advisory Fee Income,4200,,10207.34,Customer Account to Advisory Fee Income,FeeIncome
415,2025-06-12,Credit Card Receivable,1320,9357.58,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
416,2025-06-12,Customer Loan Account,2200,,9357.58,Credit Card Receivable to Customer Loan Account,PaymentProcessing
417,2025-06-06,Credit Card Receivable,1320,5455.38,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
418,2025-06-06,Customer Loan Account,2200,,5455.38,Credit Card Receivable to Customer Loan Account,PaymentProcessing
419,2025-06-02,Credit Card Receivable,1320,17967.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
420,2025-06-02,Customer Loan Account,2200,,17967.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
421,2025-06-07,Interest Receivable,1310,3865.78,,Interest Receivable to Interest Income,InterestAccrual
422,2025-06-07,Interest Income,4100,,3865.78,Interest Receivable to Interest Income,InterestAccrual
423,2025-06-04,Loan Loss Expense,5100,3903.3,,Loan Loss Expense to Provision for Loan Losses,Provisioning
424,2025-06-04,Provision for Loan Losses,2600,,3903.3,Loan Loss Expense to Provision for Loan Losses,Provisioning
425,2025-06-06,Cash on Hand,1010,8882.49,,Cash on Hand to Customer Deposit Account,CustomerTransaction
426,2025-06-06,Customer Deposit Account,2100,,8882.49,Cash on Hand to Customer Deposit Account,CustomerTransaction
427,2025-06-01,Customer Account,2100,9852.56,,Customer Account to Advisory Fee Income,FeeIncome
428,2025-06-01,Advisory Fee Income,4200,,9852.56,Customer Account to Advisory Fee Income,FeeIncome
429,2025-06-07,Interest Receivable,1310,16824.93,,Interest Receivable to Interest Income,InterestAccrual
430,2025-06-07,Interest Income,4100,,16824.93,Interest Receivable to Interest Income,InterestAccrual
431,2025-06-01,Customer Account,2100,18975.18,,Customer Account to Advisory Fee Income,FeeIncome
432,2025-06-01,Advisory Fee Income,4200,,18975.18,Customer Account to Advisory Fee Income,FeeIncome
433,2025-06-01,Customer Account,2100,8227.24,,Customer Account to Advisory Fee Income,FeeIncome
434,2025-06-01,Advisory Fee Income,4200,,8227.24,Customer Account to Advisory Fee Income,FeeIncome
435,2025-06-07,Credit Card Receivable,1320,6673.64,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
436,2025-06-07,Customer Loan Account,2200,,6673.64,Credit Card Receivable to Customer Loan Account,PaymentProcessing
437,2025-06-12,Trading Securities,1400,11226.19,,Trading Securities to Settlement Payable,SecuritiesTrading
438,2025-06-12,Settlement Payable,2400,,11226.19,Trading Securities to Settlement Payable,SecuritiesTrading
439,2025-06-15,Customer Account,2100,16197.5,,Customer Account to Advisory Fee Income,FeeIncome
440,2025-06-15,Advisory Fee Income,4200,,16197.5,Customer Account to Advisory Fee Income,FeeIncome
441,2025-06-05,Interest Receivable,1310,10276.36,,Interest Receivable to Interest Income,InterestAccrual
442,2025-06-05,Interest Income,4100,,10276.36,Interest Receivable to Interest Income,InterestAccrual
443,2025-06-07,Trading Securities,1400,10227.2,,Trading Securities to Settlement Payable,SecuritiesTrading
444,2025-06-07,Settlement Payable,2400,,10227.2,Trading Securities to Settlement Payable,SecuritiesTrading
445,2025-06-13,Credit Card Receivable,1320,13708.6,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
446,2025-06-13,Customer Loan Account,2200,,13708.6,Credit Card Receivable to Customer Loan Account,PaymentProcessing
447,2025-06-14,Trading Securities,1400,14759.45,,Trading Securities to Settlement Payable,SecuritiesTrading
448,2025-06-14,Settlement Payable,2400,,14759.45,Trading Securities to Settlement Payable,SecuritiesTrading
449,2025-06-10,Trading Securities,1400,18471.29,,Trading Securities to Settlement Payable,SecuritiesTrading
450,2025-06-10,Settlement Payable,2400,,18471.29,Trading Securities to Settlement Payable,SecuritiesTrading
451,2025-06-07,Customer Account,2100,1512.36,,Customer Account to Advisory Fee Income,FeeIncome
452,2025-06-07,Advisory Fee Income,4200,,1512.36,Customer Account to Advisory Fee Income,FeeIncome
453,2025-06-01,Customer Account,2100,11723.45,,Customer Account to Advisory Fee Income,FeeIncome
454,2025-06-01,Advisory Fee Income,4200,,11723.45,Customer Account to Advisory Fee Income,FeeIncome
455,2025-06-03,Cash on Hand,1010,13212.24,,Cash on Hand to Customer Deposit Account,CustomerTransaction
456,2025-06-03,Customer Deposit Account,2100,,13212.24,Cash on Hand to Customer Deposit Account,CustomerTransaction
457,2025-06-05,Trading Securities,1400,4452.85,,Trading Securities to Settlement Payable,SecuritiesTrading
458,2025-06-05,Settlement Payable,2400,,4452.85,Trading Securities to Settlement Payable,SecuritiesTrading
459,2025-06-08,Trading Securities,1400,7219.7,,Trading Securities to Settlement Payable,SecuritiesTrading
460,2025-06-08,Settlement Payable,2400,,7219.7,Trading Securities to Settlement Payable,SecuritiesTrading
461,2025-06-15,Credit Card Receivable,1320,7412.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
462,2025-06-15,Customer Loan Account,2200,,7412.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
463,2025-06-14,Trading Securities,1400,6286.88,,Trading Securities to Settlement Payable,SecuritiesTrading
464,2025-06-14,Settlement Payable,2400,,6286.88,Trading Securities to Settlement Payable,SecuritiesTrading
465,2025-06-02,Trading Securities,1400,5793.16,,Trading Securities to Settlement Payable,SecuritiesTrading
466,2025-06-02,Settlement Payable,2400,,5793.16,Trading Securities to Settlement Payable,SecuritiesTrading
467,2025-06-09,Trading Securities,1400,1368.28,,Trading Securities to Settlement Payable,SecuritiesTrading
468,2025-06-09,Settlement Payable,2400,,1368.28,Trading Securities to Settlement Payable,SecuritiesTrading
469,2025-06-06,Cash on Hand,1010,19998.25,,Cash on Hand to Customer Deposit Account,CustomerTransaction
470,2025-06-06,Customer Deposit Account,2100,,19998.25,Cash on Hand to Customer Deposit Account,CustomerTransaction
471,2025-06-13,Interest Receivable,1310,13352.74,,Interest Receivable to Interest Income,InterestAccrual
472,2025-06-13,Interest Income,4100,,13352.74,Interest Receivable to Interest Income,InterestAccrual
473,2025-06-01,Loan Loss Expense,5100,1764.9,,Loan Loss Expense to Provision for Loan Losses,Provisioning
474,2025-06-01,Provision for Loan Losses,2600,,1764.9,Loan Loss Expense to Provision for Loan Losses,Provisioning
475,2025-06-01,Interest Receivable,1310,4787.85,,Interest Receivable to Interest Income,InterestAccrual
476,2025-06-01,Interest Income,4100,,4787.85,Interest Receivable to Interest Income,InterestAccrual
477,2025-06-03,Customer Account,2100,3895.26,,Customer Account to Advisory Fee Income,FeeIncome
478,2025-06-03,Advisory Fee Income,4200,,3895.26,Customer Account to Advisory Fee Income,FeeIncome
479,2025-06-10,Trading Securities,1400,13719.72,,Trading Securities to Settlement Payable,SecuritiesTrading
480,2025-06-10,Settlement Payable,2400,,13719.72,Trading Securities to Settlement Payable,SecuritiesTrading
481,2025-06-05,Interest Receivable,1310,9835.65,,Interest Receivable to Interest Income,InterestAccrual
482,2025-06-05,Interest Income,4100,,9835.65,Interest Receivable to Interest Income,InterestAccrual
483,2025-06-10,Credit Card Receivable,1320,4187.99,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
484,2025-06-10,Customer Loan Account,2200,,4187.99,Credit Card Receivable to Customer Loan Account,PaymentProcessing
485,2025-06-13,Loan Loss Expense,5100,14648.79,,Loan Loss Expense to Provision for Loan Losses,Provisioning
486,2025-06-13,Provision for Loan Losses,2600,,14648.79,Loan Loss Expense to Provision for Loan Losses,Provisioning
487,2025-06-02,Interest Receivable,1310,19329.69,,Interest Receivable to Interest Income,InterestAccrual
488,2025-06-02,Interest Income,4100,,19329.69,Interest Receivable to Interest Income,InterestAccrual
489,2025-06-05,Customer Account,2100,1487.89,,Customer Account to Advisory Fee Income,FeeIncome
490,2025-06-05,Advisory Fee Income,4200,,1487.89,Customer Account to Advisory Fee Income,FeeIncome
491,2025-06-07,Customer Account,2100,13869.6,,Customer Account to Advisory Fee Income,FeeIncome
492,2025-06-07,Advisory Fee Income,4200,,13869.6,Customer Account to Advisory Fee Income,FeeIncome
493,2025-06-04,Trading Securities,1400,18887.94,,Trading Securities to Settlement Payable,SecuritiesTrading
494,2025-06-04,Settlement Payable,2400,,18887.94,Trading Securities to Settlement Payable,SecuritiesTrading
495,2025-06-14,Cash on Hand,1010,12249.86,,Cash on Hand to Customer Deposit Account,CustomerTransaction
496,2025-06-14,Customer Deposit Account,2100,,12249.86,Cash on Hand to Customer Deposit Account,CustomerTransaction
497,2025-06-12,Loan Loss Expense,5100,5614.14,,Loan Loss Expense to Provision for Loan Losses,Provisioning
498,2025-06-12,Provision for Loan Losses,2600,,5614.14,Loan Loss Expense to Provision for Loan Losses,Provisioning
499,2025-06-10,Credit Card Receivable,1320,17155.57,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
500,2025-06-10,Customer Loan Account,2200,,17155.57,Credit Card Receivable to Customer Loan Account,PaymentProcessing
501,2025-06-10,Cash on Hand,1010,16128.32,,Cash on Hand to Customer Deposit Account,CustomerTransaction
502,2025-06-10,Customer Deposit Account,2100,,16128.32,Cash on Hand to Customer Deposit Account,CustomerTransaction
503,2025-06-07,Cash on Hand,1010,7596.87,,Cash on Hand to Customer Deposit Account,CustomerTransaction
504,2025-06-07,Customer Deposit Account,2100,,7596.87,Cash on Hand to Customer Deposit Account,CustomerTransaction
505,2025-06-09,Loan Loss Expense,5100,8040.85,,Loan Loss Expense to Provision for Loan Losses,Provisioning
506,2025-06-09,Provision for Loan Losses,2600,,8040.85,Loan Loss Expense to Provision for Loan Losses,Provisioning
507,2025-06-14,Loan Loss Expense,5100,7483.39,,Loan Loss Expense to Provision for Loan Losses,Provisioning
508,2025-06-14,Provision for Loan Losses,2600,,7483.39,Loan Loss Expense to Provision for Loan Losses,Provisioning
509,2025-06-02,Trading Securities,1400,16624.29,,Trading Securities to Settlement Payable,SecuritiesTrading
510,2025-06-02,Settlement Payable,2400,,16624.29,Trading Securities to Settlement Payable,SecuritiesTrading
511,2025-06-11,Trading Securities,1400,19254.96,,Trading Securities to Settlement Payable,SecuritiesTrading
512,2025-06-11,Settlement Payable,2400,,19254.96,Trading Securities to Settlement Payable,SecuritiesTrading
513,2025-06-07,Trading Securities,1400,14438.86,,Trading Securities to Settlement Payable,SecuritiesTrading
514,2025-06-07,Settlement Payable,2400,,14438.86,Trading Securities to Settlement Payable,SecuritiesTrading
515,2025-06-11,Interest Receivable,1310,14942.11,,Interest Receivable to Interest Income,InterestAccrual
516,2025-06-11,Interest Income,4100,,14942.11,Interest Receivable to Interest Income,InterestAccrual
517,2025-06-15,Credit Card Receivable,1320,12702.33,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
518,2025-06-15,Customer Loan Account,2200,,12702.33,Credit Card Receivable to Customer Loan Account,PaymentProcessing
519,2025-06-08,Customer Account,2100,15718.19,,Customer Account to Advisory Fee Income,FeeIncome
520,2025-06-08,Advisory Fee Income,4200,,15718.19,Customer Account to Advisory Fee Income,FeeIncome
521,2025-06-10,Trading Securities,1400,16688.96,,Trading Securities to Settlement Payable,SecuritiesTrading
522,2025-06-10,Settlement Payable,2400,,16688.96,Trading Securities to Settlement Payable,SecuritiesTrading
523,2025-06-04,Credit Card Receivable,1320,7123.79,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
524,2025-06-04,Customer Loan Account,2200,,7123.79,Credit Card Receivable to Customer Loan Account,PaymentProcessing
525,2025-06-08,Cash on Hand,1010,6299.64,,Cash on Hand to Customer Deposit Account,CustomerTransaction
526,2025-06-08,Customer Deposit Account,2100,,6299.64,Cash on Hand to Customer Deposit Account,CustomerTransaction
527,2025-06-10,Interest Receivable,1310,15259.05,,Interest Receivable to Interest Income,InterestAccrual
528,2025-06-10,Interest Income,4100,,15259.05,Interest Receivable to Interest Income,InterestAccrual
529,2025-06-06,Customer Account,2100,13695.58,,Customer Account to Advisory Fee Income,FeeIncome
530,2025-06-06,Advisory Fee Income,4200,,13695.58,Customer Account to Advisory Fee Income,FeeIncome
531,2025-06-06,Cash on Hand,1010,10391.82,,Cash on Hand to Customer Deposit Account,CustomerTransaction
532,2025-06-06,Customer Deposit Account,2100,,10391.82,Cash on Hand to Customer Deposit Account,CustomerTransaction
533,2025-06-06,Interest Receivable,1310,10263.45,,Interest Receivable to Interest Income,InterestAccrual
534,2025-06-06,Interest Income,4100,,10263.45,Interest Receivable to Interest Income,InterestAccrual
535,2025-06-15,Credit Card Receivable,1320,7466.44,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
536,2025-06-15,Customer Loan Account,2200,,7466.44,Credit Card Receivable to Customer Loan Account,PaymentProcessing
